Title,Year,Runtime,Genre,IMDB Rating,Grosses

Avatar,(2009),162,"['Action', 'Adventure', 'Fantasy']",7.9,2922917914

Avengers: Endgame,(2019),181,"['Action', 'Adventure', 'Drama']",8.4,2797501328

Titanic,(1997),194,"['Drama', 'Romance']",7.9,2201647264

Star Wars: Episode VII - The Force Awakens,(2015),138,"['Action', 'Adventure', 'Sci-Fi']",7.8,2069521700

Avengers: Infinity War,(2018),149,"['Action', 'Adventure', 'Sci-Fi']",8.4,2048359754

Spider-Man: No Way Home,(2021),148,"['Action', 'Adventure', 'Fantasy']",8.2,1916306995

Jurassic World,(2015),124,"['Action', 'Adventure', 'Sci-Fi']",6.9,1671537444

The Lion King 1,(2019),118,"['Animation', 'Adventure', 'Drama']",6.8,1663075401

The Avengers,(2012),143,"['Action', 'Sci-Fi']",8,1518815515

Avatar: The Way of Water,(2022),192,"['Action', 'Adventure', 'Fantasy']",7.7,1516558728

Fast & Furious 7,(2015),137,"['Action', 'Crime', 'Thriller']",7.1,1515341399

Top Gun: Maverick,(2022),130,"['Action', 'Drama']",8.3,1488732821

Frozen II,(2019),103,"['Animation', 'Adventure', 'Comedy']",6.8,1450026933

Avengers: Age of Ultron,(2015),141,"['Action', 'Adventure', 'Sci-Fi']",7.3,1402809540

Black Panther,(2018),134,"['Action', 'Adventure', 'Sci-Fi']",7.3,1382248826

Harry Potter and the Deathly Hallows: Part 2,(2011),130,"['Adventure', 'Family', 'Fantasy']",8.1,1342359942

Star Wars: Episode VIII - The Last Jedi,(2017),152,"['Action', 'Adventure', 'Fantasy']",6.9,1332698830

Jurassic World: Fallen Kingdom,(2018),128,"['Action', 'Adventure', 'Sci-Fi']",6.1,1310466296

Frozen,(I) (2013),102,"['Animation', 'Adventure', 'Comedy']",7.4,1281508100

Beauty and the Beast,(I) (2017),129,"['Adventure', 'Family', 'Fantasy']",7.1,1264435322

Incredibles 2,(2018),118,"['Animation', 'Action', 'Adventure']",7.6,1243089244

The Fate of the Furious,(2017),136,"['Action', 'Crime', 'Thriller']",6.6,1236005118

Iron Man Three,(2013),130,"['Action', 'Adventure', 'Sci-Fi']",7.1,1214811252

Minions,(2015),91,"['Animation', 'Adventure', 'Comedy']",6.4,1159444662

Captain America: Civil War,(2016),147,"['Action', 'Sci-Fi']",7.8,1153337496

Aquaman,(2018),143,"['Action', 'Adventure', 'Fantasy']",6.8,1148528393

The Lord of the Rings: The Return of the King,(2003),201,"['Action', 'Adventure', 'Drama']",9,1146457748

Spider-Man: Far from Home,(2019),129,"['Action', 'Adventure', 'Comedy']",7.4,1131927996

Captain Marvel,(2019),123,"['Action', 'Adventure', 'Sci-Fi']",6.8,1128462972

Transformers: Dark of the Moon,(2011),154,"['Action', 'Adventure', 'Sci-Fi']",6.2,1123794079

Jurassic Park,(1993),127,"['Action', 'Adventure', 'Sci-Fi']",8.2,1109802321

Skyfall,(2012),143,"['Action', 'Adventure', 'Thriller']",7.8,1108569499

Transformers: Age of Extinction,(2014),165,"['Action', 'Adventure', 'Sci-Fi']",5.6,1104054072

The Dark Knight Rises,(2012),164,"['Action', 'Drama', 'Thriller']",8.4,1081169825

Joker,(I) (2019),122,"['Crime', 'Drama', 'Thriller']",8.4,1074458282

Star Wars: Episode IX - The Rise of Skywalker,(2019),141,"['Action', 'Adventure', 'Fantasy']",6.5,1074149279

Toy Story 4,(2019),100,"['Animation', 'Adventure', 'Comedy']",7.7,1073394593

Toy Story 3,(2010),103,"['Animation', 'Adventure', 'Comedy']",8.3,1066970811

Pirates of the Caribbean: Dead Man's Chest,(2006),151,"['Action', 'Adventure', 'Fantasy']",7.3,1066179747

Rogue One,(2016),133,"['Action', 'Adventure', 'Sci-Fi']",7.8,1058682142

Aladdin,(2019),128,"['Adventure', 'Comedy', 'Family']",6.9,1050693953

Pirates of the Caribbean: On Stranger Tides,(2011),137,"['Action', 'Adventure', 'Fantasy']",6.6,1045713802

Despicable Me 3,(2017),89,"['Animation', 'Adventure', 'Comedy']",6.2,1034800131

Finding Dory,(2016),97,"['Animation', 'Adventure', 'Comedy']",7.3,1028570942

Star Wars: Episode I - The Phantom Menace,(1999),136,"['Action', 'Adventure', 'Fantasy']",6.5,1027082707

Alice in Wonderland,(I) (2010),108,"['Adventure', 'Family', 'Fantasy']",6.4,1025468216

Zootopia,(2016),108,"['Animation', 'Adventure', 'Comedy']",8,1024121104

Harry Potter and the Sorcerer's Stone,(2001),152,"['Adventure', 'Family', 'Fantasy']",7.6,1023842938

The Hobbit: An Unexpected Journey,(2012),169,"['Adventure', 'Fantasy']",7.8,1017030651

The Dark Knight,(2008),152,"['Action', 'Crime', 'Drama']",9,1006234167

Jurassic World: Dominion,(2022),147,"['Action', 'Adventure', 'Sci-Fi']",5.6,1001978080

Jumanji: Welcome to the Jungle,(2017),119,"['Action', 'Adventure', 'Comedy']",6.9,995339117

Harry Potter and the Deathly Hallows: Part 1,(2010),146,"['Adventure', 'Family', 'Fantasy']",7.7,977070383

Despicable Me 2,(2013),98,"['Animation', 'Adventure', 'Comedy']",7.3,970766005

The Lion King 2,(1994),88,"['Animation', 'Adventure', 'Drama']",8.5,968511805

The Jungle Book,(2016),106,"['Adventure', 'Drama', 'Family']",7.4,966554929

The Hobbit: The Battle of the Five Armies,(2014),144,"['Adventure', 'Fantasy']",7.4,962201338

Pirates of the Caribbean: At World's End,(2007),169,"['Action', 'Adventure', 'Fantasy']",7.1,960996492

The Hobbit: The Desolation of Smaug,(2013),161,['Fantasy'],7.8,959027992

Doctor Strange in the Multiverse of Madness,(2022),126,"['Action', 'Adventure', 'Fantasy']",6.9,955775804

The Lord of the Rings: The Two Towers,(2002),179,"['Action', 'Adventure', 'Drama']",8.8,947944270

Harry Potter and the Order of the Phoenix,(2007),138,"['Action', 'Adventure', 'Family']",7.5,942256902

Finding Nemo,(2003),100,"['Animation', 'Adventure', 'Comedy']",8.2,940352645

Minions: The Rise of Gru,(2022),87,"['Animation', 'Adventure', 'Comedy']",6.5,939628210

