Title,Year,Runtime,Genre,IMDB Rating,Grosses,Action,Adventure,Fantasy,Drama,Romance,Sci-Fi,Animation,Crime,Thriller,Comedy,Family,Biography,Music,History,Mystery,Horror,Musical,War,Western,Sport,Documentary

Avatar,(2009),162,"['Action', 'Adventure', 'Fantasy']",7.9,2922917914,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Avengers: Endgame,(2019),181,"['Action', 'Adventure', 'Drama']",8.4,2797501328,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Titanic,(1997),194,"['Drama', 'Romance']",7.9,2201647264,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Star Wars: Episode VII - The Force Awakens,(2015),138,"['Action', 'Adventure', 'Sci-Fi']",7.8,2069521700,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Avengers: Infinity War,(2018),149,"['Action', 'Adventure', 'Sci-Fi']",8.4,2048359754,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Spider-Man: No Way Home,(2021),148,"['Action', 'Adventure', 'Fantasy']",8.2,1916306995,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Jurassic World,(2015),124,"['Action', 'Adventure', 'Sci-Fi']",6.9,1671537444,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

The Lion King 1,(2019),118,"['Animation', 'Adventure', 'Drama']",6.8,1663075401,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

The Avengers,(2012),143,"['Action', 'Sci-Fi']",8,1518815515,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Avatar: The Way of Water,(2022),192,"['Action', 'Adventure', 'Fantasy']",7.7,1516558728,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Fast & Furious 7,(2015),137,"['Action', 'Crime', 'Thriller']",7.1,1515341399,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0

Top Gun: Maverick,(2022),130,"['Action', 'Drama']",8.3,1488732821,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Frozen II,(2019),103,"['Animation', 'Adventure', 'Comedy']",6.8,1450026933,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Avengers: Age of Ultron,(2015),141,"['Action', 'Adventure', 'Sci-Fi']",7.3,1402809540,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Black Panther,(2018),134,"['Action', 'Adventure', 'Sci-Fi']",7.3,1382248826,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Harry Potter and the Deathly Hallows: Part 2,(2011),130,"['Adventure', 'Family', 'Fantasy']",8.1,1342359942,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0

Star Wars: Episode VIII - The Last Jedi,(2017),152,"['Action', 'Adventure', 'Fantasy']",6.9,1332698830,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Jurassic World: Fallen Kingdom,(2018),128,"['Action', 'Adventure', 'Sci-Fi']",6.1,1310466296,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Frozen,(I) (2013),102,"['Animation', 'Adventure', 'Comedy']",7.4,1281508100,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Beauty and the Beast,(I) (2017),129,"['Adventure', 'Family', 'Fantasy']",7.1,1264435322,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0

Incredibles 2,(2018),118,"['Animation', 'Action', 'Adventure']",7.6,1243089244,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

The Fate of the Furious,(2017),136,"['Action', 'Crime', 'Thriller']",6.6,1236005118,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0

Iron Man Three,(2013),130,"['Action', 'Adventure', 'Sci-Fi']",7.1,1214811252,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Minions,(2015),91,"['Animation', 'Adventure', 'Comedy']",6.4,1159444662,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Captain America: Civil War,(2016),147,"['Action', 'Sci-Fi']",7.8,1153337496,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Aquaman,(2018),143,"['Action', 'Adventure', 'Fantasy']",6.8,1148528393,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

The Lord of the Rings: The Return of the King,(2003),201,"['Action', 'Adventure', 'Drama']",9,1146457748,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Spider-Man: Far from Home,(2019),129,"['Action', 'Adventure', 'Comedy']",7.4,1131927996,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Captain Marvel,(2019),123,"['Action', 'Adventure', 'Sci-Fi']",6.8,1128462972,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Transformers: Dark of the Moon,(2011),154,"['Action', 'Adventure', 'Sci-Fi']",6.2,1123794079,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Jurassic Park,(1993),127,"['Action', 'Adventure', 'Sci-Fi']",8.2,1109802321,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Skyfall,(2012),143,"['Action', 'Adventure', 'Thriller']",7.8,1108569499,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0

Transformers: Age of Extinction,(2014),165,"['Action', 'Adventure', 'Sci-Fi']",5.6,1104054072,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

The Dark Knight Rises,(2012),164,"['Action', 'Drama', 'Thriller']",8.4,1081169825,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0

Joker,(I) (2019),122,"['Crime', 'Drama', 'Thriller']",8.4,1074458282,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0

Star Wars: Episode IX - The Rise of Skywalker,(2019),141,"['Action', 'Adventure', 'Fantasy']",6.5,1074149279,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Toy Story 4,(2019),100,"['Animation', 'Adventure', 'Comedy']",7.7,1073394593,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0

